Timestamp,Air purifier or N95 Mask,Shop Name,Address,Price,Quantity
6/21/13 22:24,Air purifier,osim,major shopping malls,68-88,
6/21/13 22:38,N95 Mask,Mass technologies,7 bukit batok st 22,$37.45 ,20
6/21/13 23:16,N95 Mask,Medic Pharmacy,Tanjong Pagar Plaza #01-57,$10 ,
6/21/13 23:34,N95 Mask,unity,bukit panjang,,
6/22/13 0:08,N95 Mask,ntuc,serangoon,,
6/22/13 0:18,N95 Mask,Lifestyle Mart @ Mount Faber Safra,"2, Telok Blangah Way, Singapore 098803 (Tel: 6272 1269)",$80 ,35
6/22/13 5:57,N95 Mask,Fabrico,39 jalan pemimpin,,
6/22/13 8:18,N95 Mask,Medic,Tanjong pagar plaza,$5 ,1
6/22/13 9:23,N95 Mask,G-Innovations,FB: G-Innovations,$29.90 ,Boxes of 20 pcs
6/22/13 10:00,N95 Mask,fairprice,bedok,2.2,
